,Sat2Earth_x,Sat2Earth_y,Sat2Earth_z
0,4363.7,5863.8,1462.3
1,4133.1,6041,1551.6
2,3897.9,6211.4,1639.2
3,3658.4,6375,1725
4,3414.9,6531.8,1808.9
5,3167.7,6681.5,1890.8
6,2917.2,6824.3,1970.8
7,2663.7,6960,2048.8
8,2407.6,7088.6,2124.6
9,2149.1,7210.2,2198.3
10,1888.4,7324.8,2270
11,1626,7432.5,2339.4
12,1362,7533.4,2406.7
13,1096.6,7627.4,2471.9
14,830.27,7714.8,2534.8
15,563.1,7795.5,2595.6
16,295.38,7869.7,2654.3
17,27.359,7937.6,2710.8
18,-240.74,7999.1,2765.1
19,-508.69,8054.4,2817.3
20,-776.26,8103.7,2867.4
21,-1043.3,8147.1,2915.4
22,-1309.5,8184.7,2961.3
23,-1574.8,8216.7,3005.2
24,-1839,8243.1,3047
25,-2102,8264.3,3086.9
26,-2363.5,8280.2,3124.8
27,-2623.6,8291.1,3160.8
28,-2882.1,8297.1,3195
29,-3138.9,8298.3,3227.3
30,-3394.1,8294.9,3257.8
31,-3647.5,8287.1,3286.5
32,-3899.2,8274.9,3313.6
33,-4149.4,8258.4,3339
34,-4397.9,8237.8,3362.7
35,-4644.7,8213.1,3384.9
36,-4889.5,8184.6,3405.5
37,-5132.3,8152.3,3424.6
38,-5373,8116.3,3442.1
39,-5611.6,8076.8,3458.2
40,-5847.9,8033.9,3472.8
41,-6081.8,7987.7,3486
42,-6313.3,7938.2,3497.8
43,-6542.3,7885.8,3508.3
44,-6768.8,7830.3,3517.4
45,-6992.7,7772.1,3525.2
46,-7213.9,7711.1,3531.8
47,-7432.4,7647.6,3537.1
48,-7648.1,7581.6,3541.3
49,-7861.1,7513.2,3544.3
50,-8071.3,7442.5,3546.2
51,-8278.6,7369.8,3547
52,-8483,7294.9,3546.7
53,-8684.6,7218.1,3545.4
54,-8883.3,7139.5,3543.1
55,-9079.1,7059.1,3539.9
56,-9272,6977,3535.7
57,-9462.1,6893.4,3530.7
58,-9649.4,6808.2,3524.8
59,-9833.8,6721.7,3518
60,-10015,6633.8,3510.4
61,-10194,6544.6,3502.1
62,-10370,6454.2,3493
63,-10544,6362.6,3483.1
64,-10714,6269.9,3472.6
65,-10883,6176.2,3461.4
66,-11048,6081.4,3449.5
67,-11211,5985.7,3436.9
68,-11372,5889,3423.8
69,-11530,5791.4,3410
